created_at,text,keyword
2023-04-23 10:12:27+00:00,"Sore...🙂
🚥 Love song 🌺
#tesla https://t.co/FZV67IQcs3",love AND tesla
2023-04-23 10:07:33+00:00,"Love him or hate him @elonmusk steeped up to his eyeballs in eye watering debt , Tesla going down a cul de sac, exploding rockets 
Boring very few tunnels , overpaying for Twitter based on ego, he has to go down in history as a tech genius or just building shit too big to fail",love AND tesla
2023-04-23 09:58:41+00:00,@foxy_huang Better yet I would love Gordon Johnson to provide a copy of his analyst report/thesis and compare it to Tesla’s last 3 years earnings reports and explain each line item to justify his stock price? Gordon makes up numbers and is not truthful with his FAKENEWS,love AND tesla
2023-04-23 09:54:11+00:00,@darenyoong @SF___Tahoe @Tesla I love this!🫶,love AND tesla
2023-04-23 09:40:17+00:00,@fatcat_coin @WatcherGuru I love cat’s 🐈,love AND tesla
2023-04-23 09:16:12+00:00,"I love electric cars, but here are my five reasons not to buy a Tesla
Read More: https://t.co/PijFVShvY4

#latest_news #news",love AND tesla
2023-04-23 09:14:15+00:00,"@elonmusk Sir Elon musk please give me 4 gifts (American visa, billion us dollars,one super powerful cute Tesla electric car and last one is more important your luck and https://t.co/F4mfhBg1rK uuuu buuuddy .I don't know your life goal but one day you achieve your goals because of luck 🤞.",love AND tesla
2023-04-23 09:10:57+00:00,"@elonmusk @WallStreetSilv Most shorted stock in the world - show how much they love lying about Tesla - this is soo sad as they are stopping the future to sustainability for our children.

Disgusting really",love AND tesla
2023-04-23 09:00:13+00:00,"@Gfilche @Tesla Americans love money, they are a breed that thrives on hype to promote their interests.",love AND tesla
2023-04-23 08:44:18+00:00,"I love electric cars, but here are five reasons not to buy a Tesla.
https://t.co/cMV1u9IbJc",love AND tesla
2023-04-23 08:41:55+00:00,@cromas @Tweetermeyer Right?  I've grown to dislike Elon as a person but I love SpaceX and Tesla for what they are.  They deserve the accolades regardless of your feelings for the face of the companies.  Have a good reason to hate if you're going to.,love AND tesla
2023-04-23 08:34:30+00:00,"2007 Wishbone Ash • First Light
2010 Extreme • Take Us Alive
2010 Iced Earth • Box Of The Wicked
2010 Melissa Etheridge • Fearless Love
2010 Tesla • Alive In Europe
2012 Peter Gabriel • Live Blood
2013 Paula Cole • Raven
2013 Queensrÿche (Geoff Tate) • Frequency Unkown",love AND tesla
2023-04-23 08:28:20+00:00,"@BitcoinBilly24 @skyline991gt3 @elonmusk @farzyness Love your point, but do you feel Tesla is/isn’t an afterthought for Elon? Feels like his current priorities are 1) Twitter 2) Space X 3) Tesla (which I feel he barely gives any attention to these days).

Feel sorry for people who invested at ~$300-400 per share.",love AND tesla
2023-04-23 08:26:13+00:00,"When you want to say something about Tesla , dont be like this As Tesla investor, or i love tesla but or as Teslam.
No. You dont know anything. Just say like this i am nobody who doesnt know anything ..~ then you will get better reply for sure",love AND tesla
2023-04-23 08:25:50+00:00,"Hi, my name is Becky and I'm a huge fan of yours. For over a year now, I've been watching all your videos and following your channels. I would love to feature you in one of my own videos! I'm also a big fan of Tesla, and you should do a video about that too!",love AND tesla
2023-04-23 08:23:31+00:00,"@Qing2022022 All this tesla love because is tall you , time is gon",love AND tesla
2023-04-23 08:22:07+00:00,@Gf4Tesla @Tesla Great idea! Love to see it tomorrow at our #GigaBerlin tour 😎,love AND tesla
2023-04-23 08:19:51+00:00,@RickTheTank The new Tesla life him love this but no show the dirty politics are now .,love AND tesla
2023-04-23 08:10:46+00:00,@FamilyofP @andrew0i0d He’s definitely not a bear. Just making realistic decisions for his fund. No one here can say they love everything Elon and team are doing. Gary just disagrees with pricing and lack of advertising. Everyone would be happier if Elon was quieter and Tesla ran a few ads.,love AND tesla
2023-04-23 08:02:13+00:00,@Tesla Would love to join the revolution but can’t afford it.,love AND tesla
